app_id,mob_2_dpd30,mob_3_dpd30,mob_4_dpd30,mob_5_dpd30,mob_6_dpd30,write_off_flag
APP200000,0,0,0,0,0,0
APP200001,0,0,1,0,0,0
APP200002,0,0,0,0,0,0
APP200003,0,0,0,0,0,0
APP200004,0,0,0,0,0,0
APP200005,0,0,0,0,0,0
APP200006,0,0,0,0,0,0
APP200007,0,0,0,0,0,0
APP200008,0,0,1,0,0,0
APP200009,0,0,0,0,0,0
APP200010,0,0,0,0,0,0
APP200011,0,0,0,0,0,0
APP200012,0,0,0,0,0,0
APP200013,0,1,0,1,0,0
APP200014,0,0,0,0,0,0
APP200015,0,0,1,0,0,0
APP200016,0,0,1,0,0,0
APP200017,0,0,0,0,0,0
APP200018,0,0,0,0,0,0
APP200019,0,0,0,0,0,0
APP200020,0,1,0,0,0,0
APP200021,0,0,0,0,0,0
APP200022,0,0,0,1,1,0
APP200023,0,0,0,0,0,0
APP200024,0,0,0,0,0,0
APP200025,0,0,0,0,0,0
APP200026,0,0,0,0,0,0
APP200027,0,0,0,0,0,0
APP200028,0,0,0,0,0,0
APP200029,0,0,0,0,0,0
APP200030,0,0,0,0,0,0
APP200031,0,0,0,0,0,0
APP200032,0,0,0,0,0,0
APP200033,0,0,0,0,0,0
APP200034,0,0,0,0,0,0
APP200035,0,0,0,0,0,0
APP200036,0,0,0,0,0,0
APP200037,0,0,0,0,0,0
APP200038,0,0,0,0,0,0
APP200039,0,0,0,0,0,0
APP200040,0,0,0,0,0,0
APP200041,0,0,0,0,0,0
APP200042,0,0,0,0,1,0
APP200043,0,0,0,0,0,0
APP200044,0,0,0,0,0,0
APP200045,0,0,0,0,0,0
APP200046,0,0,1,0,0,0
APP200047,0,0,0,0,0,0
APP200048,0,0,0,0,0,0
APP200049,0,0,0,0,0,0
APP200050,0,0,0,0,0,0
APP200051,0,0,0,0,0,0
APP200052,0,0,0,0,0,0
APP200053,0,0,0,0,0,0
APP200054,0,0,0,0,0,0
APP200055,0,0,0,0,0,0
APP200056,0,0,0,0,0,0
APP200057,0,0,0,1,1,0
APP200058,0,0,0,0,0,0
